UNIT,TOTAL
R029,1587
R281,1586
R371,1585
R113,1582
R261,1581
R057,1579
R030,1576
R113,1575
R197,1574
R136,1573
R179,1573
R345,1572
R037,1572
R294,1572
R218,1571
R322,1570
R168,1569
R052,1568
R222,1568
R462,1568
R300,1567
R012,1567
R168,1567
R057,1567
R461,1567
R032,1567
R162,1566
R020,1566
R235,1565
R248,1565
R223,1564
R081,1563
R456,1563
R546,1562
R084,1561
R022,1561
R170,1560
R010,1557
R013,1557
R084,1555
R257,1554
R254,1554
R257,1551
R314,1550
R293,1550
R546,1549
R170,1546
R021,1545
R137,1544
R034,1544
R259,1543
R237,1542
R142,1541
R086,1539
R211,1538
R081,1537
R084,1537
R223,1536
R040,1536
R377,1535
R452,1534
R011,1533
R249,1533
R012,1532
R132,1532
R010,1531
R252,1531
R302,1530
R116,1528
R151,1528
R022,1527
R062,1526
R187,1525
R170,1523
R198,1522
R148,1522
R051,1521
R536,1521
R158,1521
R202,1520
R079,1519
R453,1518
R124,1518
R034,1517
R012,1516
R375,1516
R213,1515
R122,1515
R178,1515
R169,1514
R055,1513
R164,1512
R192,1510
R094,1510
R161,1510
R215,1509
R095,1509
R163,1508
R293,1506
R206,1506
R152,1505
R158,1502
R017,1500
R245,1500
R238,1499
R303,1499
R104,1499
R084,1498
R149,1497
R047,1495
R093,1494
R388,1492
R080,1491
R552,1487
R084,1485
R149,1482
R011,1481
R011,1480
R163,1479
R011,1479
R287,1478
R190,1478
R108,1477
R094,1477
R445,1477
R381,1475
R021,1474
R081,1473
R086,1473
R252,1470
R166,1470
R187,1469
R318,1469
R168,1467
R014,1467
R150,1467
R012,1466
R022,1465
R102,1464
R069,1462
R015,1462
R181,1462
R012,1461
R142,1460
R273,1460
R053,1459
R020,1459
R187,1459
R084,1458
R288,1458
R045,1458
R121,1456
R364,1456
R202,1455
R035,1455
R273,1454
R095,1452
R113,1452
R169,1452
R057,1448
R207,1448
R177,1447
R199,1447
R249,1447
R170,1447
R388,1446
R368,1446
R206,1444
R536,1444
R108,1444
R033,1443
R178,1443
R192,1443
R132,1441
R112,1441
R382,1441
R055,1439
R254,1435
R433,1434
R204,1434
R036,1434
R144,1432
R051,1432
R168,1431
R012,1430
R113,1429
R206,1429
R212,1428
R261,1428
R032,1427
R160,1426
R302,1426
R175,1425
R273,1424
R110,1423
R173,1422
R217,1420
R081,1419
R085,1418
R287,1418
R152,1417
R017,1416
R380,1415
R021,1414
R126,1413
R084,1412
R356,1412
R031,1411
R082,1410
R191,1409
R111,1409
R084,1407
R049,1405
R463,1404
R084,1403
R173,1403
R195,1402
R280,1402
R541,1400
R044,1399
R387,1399
R169,1399
R031,1396
R095,1396
R020,1395
R536,1395
R123,1394
R167,1393
R020,1391
R175,1391
R164,1391
R191,1391
R051,1389
R193,1388
R254,1387
R149,1387
R205,1385
R235,1385
R211,1384
R022,1383
R056,1382
R437,1382
R182,1381
R333,1381
R206,1381
R541,1380
R095,1380
R032,1377
R117,1377
R164,1377
R150,1376
R142,1376
R298,1376
R031,1375
R303,1374
R308,1373
R081,1372
R362,1371
R190,1371
R147,1367
R443,1365
R122,1365
R184,1364
R050,1363
R095,1362
R033,1361
R050,1361
R171,1360
R081,1359
R146,1359
R324,1358
R084,1358
R091,1358
R045,1357
R014,1357
R081,1356
R036,1356
R356,1353
R080,1352
R023,1351
R279,1348
R013,1347
R158,1347
R116,1346
R138,1346
R203,1345
R309,1344
R446,1343
R315,1342
R194,1341
R551,1340
R319,1339
R295,1338
R192,1338
R441,1337
R293,1337
R047,1337
R237,1336
R254,1335
R018,1335
R137,1333
R014,1333
R152,1332
R035,1332
R163,1332
R461,1331
R057,1331
R082,1330
R163,1329
R374,1329
R536,1329
R438,1328
R017,1327
R050,1326
R154,1326
R536,1325
R011,1324
R161,1323
R200,1321
R164,1321
R340,1319
R270,1319
R017,1319
R023,1319
R117,1319
R031,1319
R137,1318
R429,1316
R115,1315
R051,1315
R079,1314
R132,1314
R137,1314
R085,1313
R032,1312
R235,1311
R049,1310
R127,1310
R324,1309
R051,1308
R309,1308
R166,1307
R190,1307
R031,1307
R127,1305
R107,1305
R224,1305
R434,1304
R174,1304
R034,1304
R092,1302
R453,1302
R552,1302
R394,1298
R436,1298
R123,1297
R388,1297
R368,1297
R068,1297
R080,1296
R049,1296
R193,1295
R168,1294
R285,1292
R179,1292
R439,1290
R135,1290
R225,1290
R374,1289
R130,1289
R032,1289
R315,1288
R407,1287
R069,1287
R013,1287
R185,1286
R179,1286
R463,1282
R138,1281
R195,1281
R154,1280
R308,1279
R169,1279
R107,1278
R398,1278
R193,1278
R288,1276
R250,1274
R153,1274
R178,1273
R239,1271
R139,1270
R546,1269
R022,1269
R222,1268
R113,1267
R361,1267
R150,1266
R175,1266
R160,1266
R051,1265
R323,1265
R139,1264
R053,1264
R057,1263
R053,1261
R065,1260
R232,1259
R146,1259
R392,1258
R099,1258
R232,1258
R413,1258
R143,1257
R057,1256
R123,1255
R206,1255
R190,1255
R301,1255
R295,1254
R117,1254
R029,1254
R091,1253
R463,1253
R265,1253
R116,1252
R105,1252
R044,1251
R079,1250
R031,1250
R022,1250
R051,1249
R161,1247
R080,1247
R177,1246
R367,1246
R111,1245
R293,1245
R392,1245
R124,1245
R374,1245
R051,1245
R062,1244
R085,1243
R047,1243
R435,1242
R157,1241
R127,1240
R546,1240
R275,1239
R132,1238
R275,1238
R184,1238
R146,1238
R372,1236
R183,1236
R251,1234
R012,1234
R307,1234
R014,1233
R311,1232
R200,1232
R088,1232
R366,1231
R166,1231
R462,1231
R330,1230
R035,1229
R017,1227
R024,1227
R068,1227
R170,1226
R116,1226
R206,1225
R460,1225
R197,1224
R084,1224
R178,1224
R188,1223
R083,1223
R268,1222
R206,1222
R061,1222
R211,1222
R249,1220
R217,1218
R142,1218
R022,1217
R541,1215
R012,1214
R366,1214
R276,1214
R174,1214
R207,1212
R015,1211
R192,1210
R261,1210
R106,1210
R035,1209
R158,1207
R144,1206
R035,1206
R222,1206
R257,1206
R083,1205
R161,1205
R050,1204
R175,1204
R163,1204
R236,1204
R151,1204
R109,1204
R142,1202
R032,1202
R189,1200
R156,1200
R203,1200
R045,1200
R257,1198
R376,1197
R222,1195
R081,1195
R186,1195
R129,1194
R252,1192
R001,1192
R014,1192
R069,1192
R057,1190
R178,1190
R405,1190
R386,1189
R098,1189
R060,1189
R324,1186
R014,1185
R150,1185
R167,1185
R096,1182
R081,1182
R273,1181
R269,1181
R403,1180
R011,1180
R345,1180
R167,1179
R011,1179
R145,1179
R276,1179
